phrase,label
oui bonjour je suis cric a,0
je vais bien tranquille,0
intelligence artificielle transforme profondément les secteurs économiques en automatisant des tâches complexes avec une efficacité accrue,1
"Coucou Esteban, est loin",0
intelligence artificielle transforme profondément les secteurs économiques en automatisant des tâches complexes avec une efficacité accrue,1
Dans un monde en constante évolution lia offre des solutions adaptations aux défis contemporains,1
Les est sont très utiles pour les datables,0
Je suis ingénieur en physique quantique,0
Oppenheimer a fortement contribué à avancée nucléaire,0
Un auto-layout est compliqué à mettre en place,0
bonjour je suis esteban,0
les arbres produisent de oxygène grâce à la photosynthèse,1
interaction homme-machine devient de plus en plus fluide grâce aux progrès en traitement du langage naturel,1
