texte,label
"La psychologie est un domaine très intéressant.
Le sujet de la psychologie est souvent abordé dans différents contextes.
De nombreux aspects de la psychologie peuvent être étudiés.
La psychologie est important pour comprendre le monde.
Les données sur la psychologie sont utiles dans plusieurs disciplines.
Beaucoup de personnes s'intéressent à la psychologie de nos jours.
La psychologie peut être analysé de différentes manières.
Il existe plusieurs méthodes pour étudier la psychologie.
Les implications de la psychologie sont multiples.
En conclusion, La psychologie mérite une attention particulière.",1
"Les poissons est un domaine très intéressant.
Le sujet de les poissons est souvent abordé dans différents contextes.
De nombreux aspects de les poissons peuvent être étudiés.
Les poissons est important pour comprendre le monde.
Les données sur les poissons sont utiles dans plusieurs disciplines.
Beaucoup de personnes s'intéressent à les poissons de nos jours.
Les poissons peut être analysé de différentes manières.
Il existe plusieurs méthodes pour étudier les poissons.
Les implications de les poissons sont multiples.
En conclusion, Les poissons mérite une attention particulière.",1
"La photographie est un domaine très intéressant.
Le sujet de la photographie est souvent abordé dans différents contextes.
De nombreux aspects de la photographie peuvent être étudiés.
La photographie est important pour comprendre le monde.
Les données sur la photographie sont utiles dans plusieurs disciplines.
Beaucoup de personnes s'intéressent à la photographie de nos jours.
La photographie peut être analysé de différentes manières.
Il existe plusieurs méthodes pour étudier la photographie.
Les implications de la photographie sont multiples.
En conclusion, La photographie mérite une attention particulière.",1
"Les mathématiques est un domaine très intéressant.
Le sujet de les mathématiques est souvent abordé dans différents contextes.
De nombreux aspects de les mathématiques peuvent être étudiés.
Les mathématiques est important pour comprendre le monde.
Les données sur les mathématiques sont utiles dans plusieurs disciplines.
Beaucoup de personnes s'intéressent à les mathématiques de nos jours.
Les mathématiques peut être analysé de différentes manières.
Il existe plusieurs méthodes pour étudier les mathématiques.
Les implications de les mathématiques sont multiples.
En conclusion, Les mathématiques mérite une attention particulière.",1
"La musique classique est un domaine très intéressant.
Le sujet de la musique classique est souvent abordé dans différents contextes.
De nombreux aspects de la musique classique peuvent être étudiés.
La musique classique est important pour comprendre le monde.
Les données sur la musique classique sont utiles dans plusieurs disciplines.
Beaucoup de personnes s'intéressent à la musique classique de nos jours.
La musique classique peut être analysé de différentes manières.
Il existe plusieurs méthodes pour étudier la musique classique.
Les implications de la musique classique sont multiples.
En conclusion, La musique classique mérite une attention particulière.",1
T’as vu le match ?,0
"La psychologie a connu une évolution importante au fil des siècles.
La psychologie est un sujet qui passionne de nombreuses personnes à travers le monde.
Il existe une grande diversité dans le domaine de la psychologie.
On retrouve des traces de la psychologie dans de nombreuses cultures.
De nombreuses recherches sont menées aujourd’hui sur la psychologie.
Certaines controverses existent autour de la psychologie, mais le débat reste ouvert.
Les jeunes s'intéressent de plus en plus à la psychologie.
Comprendre la psychologie permet de mieux saisir certains aspects de notre quotidien.",0
"Les plantes médicinales est un domaine très intéressant.
Le sujet de les plantes médicinales est souvent abordé dans différents contextes.
De nombreux aspects de les plantes médicinales peuvent être étudiés.
Les plantes médicinales est important pour comprendre le monde.
Les données sur les plantes médicinales sont utiles dans plusieurs disciplines.
Beaucoup de personnes s'intéressent à les plantes médicinales de nos jours.
Les plantes médicinales peut être analysé de différentes manières.
Il existe plusieurs méthodes pour étudier les plantes médicinales.
Les implications de les plantes médicinales sont multiples.
En conclusion, Les plantes médicinales mérite une attention particulière.",1
"Les voyages est un domaine très intéressant.
Le sujet de les voyages est souvent abordé dans différents contextes.
De nombreux aspects de les voyages peuvent être étudiés.
Les voyages est important pour comprendre le monde.
Les données sur les voyages sont utiles dans plusieurs disciplines.
Beaucoup de personnes s'intéressent à les voyages de nos jours.
Les voyages peut être analysé de différentes manières.
Il existe plusieurs méthodes pour étudier les voyages.
Les implications de les voyages sont multiples.
En conclusion, Les voyages mérite une attention particulière.",1
"L’intelligence artificielle est un domaine très intéressant.
Le sujet de l’intelligence artificielle est souvent abordé dans différents contextes.
De nombreux aspects de l’intelligence artificielle peuvent être étudiés.
L’intelligence artificielle est important pour comprendre le monde.
Les données sur l’intelligence artificielle sont utiles dans plusieurs disciplines.
Beaucoup de personnes s'intéressent à l’intelligence artificielle de nos jours.
L’intelligence artificielle peut être analysé de différentes manières.
Il existe plusieurs méthodes pour étudier l’intelligence artificielle.
Les implications de l’intelligence artificielle sont multiples.
En conclusion, L’intelligence artificielle mérite une attention particulière.",1
